Metric,Value
Total Transactions,541909
Unique Invoices,25900
Unique Customers,4373
Unique Products,4070
Unique Countries,38
Total Quantity Sold,5162502.0
Total Revenue,9725992.1
Average Order Value,375.52
Average Quantity per Transaction,9.62
Highest Revenue Month,2011-11
Highest Revenue Month Value,1456145.8
Lowest Revenue Month,2011-12
Lowest Revenue Month Value,432686.21
Top Product,DOTCOM POSTAGE
Top Product Revenue,206245.48
Top Country,United Kingdom
Top Country Revenue,8925942.38
